PK_CLIENT_ID	CLIENT_NAME	CLIENT_ACRONYM	CLIENT_URL	CLIENT_ADDRESS	CLIENT_EMAIL	DESCRIPTION	POSTAL_CODE	CITY	COUNTRY	CLIENT_SHORT_NAME
16	Oder Commission	ICPOAP	http://www.mkoo.pl	Ul. C.K. Norwida 34	mkoo@mkoo.pl		PL-50-375	Wroclaw	Poland	NULL
35	UN Framework Convention on Climate Change	UNFCCC	http://unfccc.int/	Haus Carstanjen, Martin-Luther-King-Strasse 8	secretariat@unfcc.int		D-53175	Bonn	Germany	NULL
23	International Council for the Exploration of the Sea	ICES	http://www.ices.dk/	Palægade 2-4	info@ices.dk		DK - 1261	Copenhagen K	Denmark	NULL
24	Black Sea Commission	BSC	http://www.blacksea-environment.org/	Dolmabahce Saray 2. Hareket Kosku	pdzhadzhev@blacksea-commission.org		TR-34353	Besiktas, Istanbul	Turkey	NULL
25	International Maritime Organisation	IMO	http://www.imo.org/home.asp	4 Albert Embankment	info@imo.org		GB-SE1 7SR	London	United Kingdom	NULL
37	Rhine Commission	ICPR (RHINE)	http://www.iskr.org	Postfach 309	sekretariat@iksr.de		D-56003	Koblenz	Germany	NULL
34	UNECE Environment and Human Settlements Division	UNECE	http://www.unece.org/env/	Palais des Nations, 8-14, avenue de la Paix	NULL		CH-1211	Geneva 10	Switzerland	NULL
38	Coordinating Unit for the Mediterranean Action Plan	MAP	http://www.unepmap.org/	P.O. Box 18019	NULL		11610	Athens	Greece	NULL
39	Organization for Economic Cooperation and Development	OECD	http://www.oecd.org	Environment Directorate2, rue Andre Pascal	NULL		F-75775	Paris Cedex 16	France	NULL
41	United Nations Environment Programme	UNEP	http://www.unep.org	various	NULL				NULL	NULL
42	Convention on Biological Diversity	CBD	http://www.biodiv.org	World Trade Centre, 393 St. Jacques Street, Office 300	secretariat@biodiv.org		CDN-H2Y 1N9	Montreal, Quebec	Canada	NULL
44	UNEP-CMS Secretariat	CMS	http://www.cms.int	United Nations Premises in Bonn, Martin-Luther-King-Str. 8	NULL	NULL	D-53175	Bonn	Germany	NULL
45	UNEP/AEWA Secretariat	AEWA	http://www.unep-aewa.org	United Nations Premises in Bonn, Martin-Luther-King-Str. 8	aewa@unep.de		D-53175	Bonn	Germany	NULL
46	UNEP/ASCOBANS Secretariat	ASCOBANS	http://www.ascobans.org	United Nations Premises in Bonn, Martin-Luther-King-Str. 8	ascobans@ascobans.org		D-53175	Bonn	Germany	NULL
48	Ramsar Convention		http://www.ramsar.org	Rue Mauverney 28	ramsar@ramsar.org		CH-1196	Gland	Switzerland	NULL
49	Ramsar Bureau and the Scientific and Technical Review Panel		http://www.ramsar.org	Rue Mauverney 28	ramsar@ramsar.org		CH-1196	Gland	Switzerland	NULL
50	ACCOBAMS Secretariat	ACCOBAMS	http://www.accobams.org	16 bd de Suisse	mcvanklaveren@accobams.mc		MC-98000	Monaco	Monaco	
51	United Nations Educational, Scientific and Cultural Organization	UNESCO	http://www.unesco.org	7, Place de Fontenoy	bpiweb@unesco.org		F-75352	Paris 07 SP	France	NULL
53	World Heritage Committee, UNESCO World Heritage Centre		http://www.unesco.org/whc	7, place de Fontenoy	wh-info@unesco.org		F-75352	Paris 07 SP	France	NULL
54	UNESCO World Heritage Centre	UNESCO		7, place de Fontenoy	wh-info@unesco.org		F-75352	Paris 07 SP	France	NULL
55	Biosafety Clearing House	BCH	http://bch.biodiv.org/	393 rue Saint-Jacques, suite 300	NULL	Affected of potentially affected States and the Biosafety Clearing House	H2Y 1N9	Montreal	Canada	NULL
101	European Commission, Directorate General for Energy	DG Energy	http://ec.europa.eu/dgs/energy/mission_en.htm	Rue J.-A. Demot, 24-28	NULL	NULL	NULL	Brussels	Belgium	NULL
58	CITES Secretariat	CITES	http://www.cites.org	International Environment House, Chemin des Anémones, Châtelaine	cites@unep.ch		CH-1219	Geneva	Switzerland	NULL
59	Committee for the Habitats Directive, European Commission	DG ENV	http://ec.europa.eu/environment/contact/contact_en.htm	European Commission, Rue de la Loi / Wetstraat 200	NULL		B-1049	Brussels	Belgium	NULL
60	Food and Agriculture Organization	FAO	http://www.fao.org	Viale delle Terme di Caracalla	FAO-HQ@fao.org		I-00100	Rome	Italy	NULL
61	FAO Forestry Resources Assessment Programme		http://www.fao.org/forestry/foris/webview/forestry2/index.jsp?siteId=101&langId=1	Forestry Department, Viale delle Terme di Caracalla	FRA@fao.org		00100	Rome	Italy	NULL
62	Council of Europe	COE	http://www.coe.int	Avenue de l’Europe	NULL	The international organisation of 47 European countries. Not an EU body!	F-67075	Strasbourg	France	NULL
63	Bern Convention		http://conventions.coe.int/Treaty/en/Treaties/Html/104.htm	Council of Europe, Avenue de l’Europe	eladio.fernandez-galiano@coe.int		F-67000	Strasbourg	France	NULL
65	EUROBATS Secretariat	EUROBATS	http://www.eurobats.org	United Nations Premises, Martin-Luther-King-Str. 8	info@eurobats.org		D-53175	Bonn	Germany	NULL
66	International Whaling Commission	IWC	http://www.iwcoffice.org	The Red House, 135 Station Road, Impington	secretariat@iwcoffice.org		GB-CB4 9NP	Cambridge	United Kingdom	NULL
67	Scientific Committee, via the IWC Secretariat	SC-IWC	http://www.iwcoffice.org	The Red House, 135 Station Road, Impington	secretariat@iwcoffice.org		GB-CB4 9NP	Cambridge	United Kingdom	NULL
68	Alpine Convention Secretariat		http://www.alpenkonvention.org		alpconv@eurac.edu			Innsbruck	Austria	NULL
69	Programme Co-ordinating Centre	PCC	http://www.icp-forests.org/ChairCC.htm	Federal Research Centre for Forestry and Forest Products (BFH), Leuschnerstrasse 91	NULL		D-21031	Hamburg	Germany	NULL
70	Committee for Environmental Protection	CEP	http://www.cep.aq/	Australian Antarctic Division, Channel Highway, Kingston	cep@cep.aq		AUS-7050	Tasmania	Australia	NULL
71	Commission for the Conservation of Antarctic Marine Living Resources	CCAMLR	http://www.ccamlr.org	PO Box 213, North Hobart	ccamlr@ccamlr.org		AUS-7002	Tasmania	Australia	NULL
72	Baltic Marine Environment Protection Commission (Helsinki Commission)	HELCOM	http://www.helcom.fi	Katajanokanlaituri 6B	NULL		FIN-00160	Helsinki	Finland	NULL
73	The International Tropical Timber Organisation	ITTO	http://www.itto.or.jp	International Organizations Center, 5th Floor, Pacifico-Yokohama 1-1-1, Minato-Mirai, Nishi-ku	itto@itto.or.jp		J-220-0012	Yokohama	Japan	NULL
74	UNCCD, Permanent Secretariat	UNCCD	http://www.unccd.int	P.O. Box 260129, Haus Carstanjen	secretariat@unccd.int		D-53153	Bonn	Germany	NULL
75	Committee on Science and Technology	CST	http://www.unccd.int	P.O. Box 260129, Haus Carstanjen	secretariat@unccd.int		D-53153	Bonn	Germany	NULL
77	Commission on Sustainable Development	CSD	http://www.un.org/esa/sustdev/csd	Department of Economic and Social Affairs, Two United Nations Plaza, Room DC2-2220	dsd@un.org		USA-NY 10017	New York	USA	NULL
78	Coordination Center for Effects	CCE	http://www.rivm.nl/cce	RIVM/LED (pb 24), P.O.Box 1	j.p.hettelingh@rivm.nl	Resorts under the International Cooperative Programme on Modelling and Mapping of Critical Levels and Loads and Air Pollution Effects, Risks and Trends (ICP Modelling and Mapping) of the Working Group of Effects (WGE) of the Convention LRTAP of the UNECE	NL-3720 BA	Bilthoven	Netherlands	NULL
79	International Cooperative Programme on Modelling and Mapping of Critical Levels and Loads and Air Pollution Effects, Risks and Trends	ICP M&M	http://www.oekodata.com/icpmapping/index.html	UBA Berlin	information@icpmapping.org				Germany	NULL
81	Conference of the Parties to the Cartagena Convention, via the Caribbean Regional Co-ordinating Unit (CAR/RCU)	CAR/RCU	http://www.cep.unep.org	14-20 Port Royal Street	uneprcuja@cwjamaica.com			Kingston	Jamaica	NULL
82	Caribbean Regional Co-ordinating Unit	CAR/RCU	http://www.cep.unep.org	14-20 Port Royal Street	uneprcuja@cwjamaica.com		JA	Kingston	Jamaica	NULL
83	Helsinki Commission	HELCOM	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
84	Bonn Agreement Secretariat		http://www.bonnagreement.org/	48 Carey Street	secretariat@bonnagreement.org		GB-WC2A 2JQ	London	United Kingdom	NULL
86	National Authorities, International Organisations, Public, Scientific Community etc				NULL					NULL
89	European Free Trade Agreement Secretariat	EFTA	http://secretariat.efta.int	74 rue de Tr?ves	mail.bxl@efta.int	At its Headquarters in Geneva the EFTA Secretariat serves the EFTA Council and its substructure in implementing the EFTA Convention and free trade agreements worldwide.\n\nIn Brussels, the Secretariat serves the EFTA Standing Committee and its substructure, the EEA Joint Committee and the EEA Council in implementing the EEA Agreement providing for the extension of the EC Internal Market to Iceland, Liechtenstein and Norway.\n\nIn Luxembourg, the Secretariat administers statistical cooperation on the basis of the EEA Agreement as well as technical assistance programmes.	B-1040	Brussels	Belgium	NULL
90	EFTA Surveillance Authority	EFTA Surv	http://www.eftasurv.int/	Rue de Tr?ves 74	registry@eftasurv.int		B-1040	Brussels	Belgium	NULL
92	World Health Organization	WHO	http://www.who.int/en/		NULL					NULL
93	Trilateral Monitoring and Assessment Group	TMAP			NULL					NULL
99	European Commission, Directorate General Climate Action	DG Clima	http://ec.europa.eu/dgs/clima/mission/index_en.htm	NULL	NULL	NULL	NULL	NULL	NULL	NULL
100	European Commission, Directorate General for Agriculture and Rural Development	DG AGRI	http://ec.europa.eu/dgs/agriculture/index_en.htm	130, Rue de la Loi	NULL	NULL	NULL	Brussels	Belgium	NULL
106	Secretariat of the Union for the Mediterranean	UfMS	http://ufmsecretariat.org	Palacio de Pedralbes, Pere Duran Farell, 11	NULL	The Union for the Mediterranean is a multilateral partnership aiming at increasing the potential for regional integration and cohesion among Euro-Mediterranean countries.\n\nThe Secretariat of the Union for the Mediterranean was created by 43 Euro-Mediterranean Heads of State and Government in Paris on 13 July 2008, with its headquarters in Barcelona. \n\nThe mandate of the UfM Secretariat focuses on identifying, processing, promoting and coordinating regional projects, which are in line with the principles and rules of international law, and that enhance and strengthen cooperation and positively impact the lives of citizens.\n\nThe mandate and mission of the Secretariat have been defined in the Paris and Marseille Declarations as well as in the Statutes adopted on 3 March 2010. The six priority areas of the UfM are: De-pollution of the Mediterranean; Maritime and land highways; Civil protection; Alternative energies: Mediterranean solar plan; Higher education and research, Euro-Mediterranean University; and the Mediterranean Business Initiative.\nCo-Presidency: The meetings of the Union for the Mediterranean are chaired by a co-presidency, one from the European Union side and the other from the Mediterranean side. The co-presidency applies to all levels: summits, ministerial meetings, and officials’ level meetings. The European Union assumed the northern co-presidency of the Union for the Mediterranean after the decision of the Council of EU Ministers of Foreign Affairs on 27th February 2012. Jordan assumes the southern co-presidency since June, 2012.\n\nSenior Officicial’s meeting (SOM): The members of the Union for the Mediterranean meet on a regular basis at the level of Senior Officials from the Ministries of Foreign Affairs of the 43 countries, EU institutions and the League of Arab States. The Senior Officials Meetings (SOM) oversee and coordinate the work of the Union for the Mediterranean. They approve the budget and the work programme of the Secretariat and prepare ministerial meetings. They also discuss the project proposals submitted by the Secretariat for approval and endorsement. Senior Officials take decisions by consensus.	08034	Barcelona	Spain	UfMS
97	United Nations Statistics Division	UNSD	http://unstats.un.org/unsd/default.htm	NULL	statistics@un.org	NULL	NY-10017	New York	United States of America	NULL
98	Joint Research Centre - European Commission	JRC	http://www.jrc.ec.europa.eu	NULL	NULL	NULL	B-1049	Brussels	Belgium	NULL
103	European Commission, Directorate General for Regional and Urban Policy	DG REGIO	http://ec.europa.eu/dgs/regional_policy/index_en.htm	Avenue de Beaulieu 5	NULL	NULL	NULL	Brussels	Belgium	NULL
104	European Commission	Commission	http://ec.europa.eu/about/	NULL	NULL	NULL	NULL	NULL	NULL	Commission
105	Council of the European Union	Council	http://www.consilium.europa.eu/	NULL	NULL	The Council is the EU institution making EU laws together with the European Parliament. In most cases, the Council can only legislate on the basis of proposals submitted to it by the European Commission.\nThe Council is composed of Member States' government representatives, i.e. the ministers of each Member State with responsibility for a given area. The composition and frequency of Council meetings vary depending on the issues dealt with. Foreign ministers, for example, meet roughly once a month in the Foreign Affairs Council. Similarly, economics and finance ministers meet once a month in the Council which handles economic and financial affairs, called the Ecofin Council.	NULL	NULL	NULL	Council
